InvoiceNo,StockCode,Quantity,InvoiceDate,UnitPrice,CustomerID
536365,85123A,6,2010-12-01 8:26,2.55,17850
536365,71053,6,2010-12-01 8:26,3.39,17850
536365,84406B,8,2010-12-01 8:26,2.75,17850
536365,84029G,6,2010-12-01 8:26,3.39,17850
536365,84029E,6,2010-12-01 8:26,3.39,17850
536365,22752,2,2010-12-01 8:26,7.65,17850
536365,21730,6,2010-12-01 8:26,4.25,17850
536366,22633,6,2010-12-01 8:28,1.85,17850
536366,22632,6,2010-12-01 8:28,1.85,17850
536367,84879,32,2010-12-01 8:34,1.69,13047
536367,22745,6,2010-12-01 8:34,2.1,13047
536367,22748,6,2010-12-01 8:34,2.1,13047
536367,22749,8,2010-12-01 8:34,3.75,13047
536367,22310,6,2010-12-01 8:34,1.65,13047
536367,84969,6,2010-12-01 8:34,4.25,13047
536367,22623,3,2010-12-01 8:34,4.95,13047
536367,22622,2,2010-12-01 8:34,9.95,13047
536367,21754,3,2010-12-01 8:34,5.95,13047
536367,21755,3,2010-12-01 8:34,5.95,13047
536367,21777,4,2010-12-01 8:34,7.95,13047
536367,48187,4,2010-12-01 8:34,7.95,13047
536368,22960,6,2010-12-01 8:34,4.25,13047
536368,22913,3,2010-12-01 8:34,4.95,13047
536368,22912,3,2010-12-01 8:34,4.95,13047
536368,22914,3,2010-12-01 8:34,4.95,13047
536369,21756,3,2010-12-01 8:35,5.95,13047
536370,22728,24,2010-12-01 8:45,3.75,12583
536370,22727,24,2010-12-01 8:45,3.75,12583
536370,22726,12,2010-12-01 8:45,3.75,12583
536370,21724,12,2010-12-01 8:45,0.85,12583
536370,21883,24,2010-12-01 8:45,0.65,12583
536370,10002,48,2010-12-01 8:45,0.85,12583
536370,21791,24,2010-12-01 8:45,1.25,12583
536370,21035,18,2010-12-01 8:45,2.95,12583
536370,22326,24,2010-12-01 8:45,2.95,12583
536370,22629,24,2010-12-01 8:45,1.95,12583
536370,22659,24,2010-12-01 8:45,1.95,12583
536370,22631,24,2010-12-01 8:45,1.95,12583
536370,22661,20,2010-12-01 8:45,0.85,12583
536370,21731,24,2010-12-01 8:45,1.65,12583
536370,22900,24,2010-12-01 8:45,2.95,12583
536370,21913,12,2010-12-01 8:45,3.75,12583
536370,22540,24,2010-12-01 8:45,0.42,12583
536370,22544,24,2010-12-01 8:45,0.42,12583
536370,22492,36,2010-12-01 8:45,0.65,12583
536370,POST,3,2010-12-01 8:45,18,12583
536371,22086,80,2010-12-01 9:00,2.55,13748
536372,22632,6,2010-12-01 9:01,1.85,17850
536372,22633,6,2010-12-01 9:01,1.85,17850
536373,85123A,6,2010-12-01 9:02,2.55,17850
536373,71053,6,2010-12-01 9:02,3.39,17850
536373,84406B,8,2010-12-01 9:02,2.75,17850
536373,20679,6,2010-12-01 9:02,4.95,17850
536373,37370,6,2010-12-01 9:02,1.06,17850
536373,21871,6,2010-12-01 9:02,1.06,17850
536373,21071,6,2010-12-01 9:02,1.06,17850
536373,21068,6,2010-12-01 9:02,1.06,17850
536373,82483,2,2010-12-01 9:02,4.95,17850
536373,82486,4,2010-12-01 9:02,6.95,17850
536373,82482,6,2010-12-01 9:02,2.1,17850
536373,82494L,6,2010-12-01 9:02,2.55,17850
536373,84029G,6,2010-12-01 9:02,3.39,17850
536373,84029E,6,2010-12-01 9:02,3.39,17850
536373,22752,2,2010-12-01 9:02,7.65,17850
536373,21730,6,2010-12-01 9:02,4.25,17850
536374,21258,32,2010-12-01 9:09,10.95,15100
536375,85123A,6,2010-12-01 9:32,2.55,17850
536375,71053,6,2010-12-01 9:32,3.39,17850
536375,84406B,8,2010-12-01 9:32,2.75,17850
536375,20679,6,2010-12-01 9:32,4.95,17850
536375,37370,6,2010-12-01 9:32,1.06,17850
536375,21871,6,2010-12-01 9:32,1.06,17850
536375,21071,6,2010-12-01 9:32,1.06,17850
536375,21068,6,2010-12-01 9:32,1.06,17850
536375,82483,2,2010-12-01 9:32,4.95,17850
536375,82486,4,2010-12-01 9:32,6.95,17850
536375,82482,6,2010-12-01 9:32,2.1,17850
536375,82494L,6,2010-12-01 9:32,2.55,17850
536375,84029G,6,2010-12-01 9:32,3.39,17850
536375,84029E,6,2010-12-01 9:32,3.39,17850
536375,22752,2,2010-12-01 9:32,7.65,17850
536375,21730,6,2010-12-01 9:32,4.25,17850
536376,22114,48,2010-12-01 9:32,3.45,15291
536376,21733,64,2010-12-01 9:32,2.55,15291
536377,22632,6,2010-12-01 9:34,1.85,17850
536377,22633,6,2010-12-01 9:34,1.85,17850
536378,22386,10,2010-12-01 9:37,1.95,14688
536378,85099C,10,2010-12-01 9:37,1.95,14688
536378,21033,10,2010-12-01 9:37,2.95,14688
536378,20723,10,2010-12-01 9:37,0.85,14688
536378,84997B,12,2010-12-01 9:37,3.75,14688
536378,84997C,6,2010-12-01 9:37,3.75,14688
536378,21094,12,2010-12-01 9:37,0.85,14688
536378,20725,10,2010-12-01 9:37,1.65,14688
536378,21559,6,2010-12-01 9:37,2.55,14688
536378,22352,6,2010-12-01 9:37,2.55,14688
536378,21212,120,2010-12-01 9:37,0.42,14688
536378,21975,24,2010-12-01 9:37,0.55,14688
536378,21977,24,2010-12-01 9:37,0.55,14688
536378,84991,24,2010-12-01 9:37,0.55,14688
536378,84519A,6,2010-12-01 9:37,2.95,14688
536378,85183B,48,2010-12-01 9:37,1.25,14688
536378,85071B,96,2010-12-01 9:37,0.38,14688
536378,21931,10,2010-12-01 9:37,1.95,14688
536378,21929,10,2010-12-01 9:37,1.95,14688
536380,22961,24,2010-12-01 9:41,1.45,17809
536381,22139,23,2010-12-01 9:41,4.25,15311
536381,84854,5,2010-12-01 9:41,4.95,15311
536381,22411,10,2010-12-01 9:41,1.95,15311
